last_name,count
Kulisch,215
Rosay,185
Tetzlaff,203
Conti,184
Luon,179
Mondadori,180
Ruther,180
Nanard,194
Llado,196
Stamatiou,184
Biran,202
Chartres,178
Anandan,190
Baumann,155
Azulay,179
Encarnacion,205
Showalter,174
Oaver,167
Matzov,205
Ramsak,167
Ossenbruggen,181
Hagimont,164
Munke,195
Xiaoshan,187
Ozery,156
Schaft,183
Keirsey,170
Ozeri,179
Rosar,150
Yurek,202
Murillo,182
Dredge,200
Setlzner,182
Menyhert,176
Huxford,181
Gaughan,206
Janocha,169
Ladret,179
Clemencon,173
Swiler,166
Spataro,181
McClure,179
Parveen,198
Harbusch,181
Nyanchama,187
Krogh,182
Lenart,187
Lambe,165
Navazio,171
Gilg,181
Koshiba,183
Schapire,202
Mikschl,197
Schwartzbauer,151
Buchter,182
Lampe,168
Vadhan,159
Badache,170
Jeong,168
Gustavson,196
Lally,185
Papsdorf,195
Openshaw,185
Thebaut,193
Boreale,189
Petereit,185
Kriebel,189
Pettey,174
Pargaonkar,168
Kropp,185
Avouris,197
Caine,177
Picaronny,176
Reeken,190
Tiemann,199
Cherinka,192
Markovitch,181
Vesna,175
Morrow,201
Comellas,181
Schueller,167
Schaad,194
Brobst,194
Waleschkowski,163
Cappelli,185
Borovoy,185
Schlenzig,174
Kumaresan,195
Lanteri,173
Zschoche,165
Ritzmann,165
Hofman,199
Terkki,180
Schlumberger,184
Pezzoli,166
Hempstead,165
Chinin,198
Ramsey,178
Lukaszewicz,176
Usery,184
Bisiani,162
Pavlopoulou,187
Pillow,165
Kinley,170
Einsfeld,182
Douceur,174
Vingron,190
McDermid,186
Syrotiuk,172
Horswill,189
Rajala,192
Munos,181
Munch,190
Olano,183
Krzyzanowski,186
Delgrange,179
Griswold,180
Levasseur,178
Schusler,201
Picco,198
Kitai,185
Pauthner,171
Cairo,177
Carrera,158
Keohane,190
Eppinger,165
Trelles,182
Suomi,197
Rousseau,189
Soloway,164
Anick,191
Birch,179
Reinhard,176
Ramalingam,159
Kaiserswerth,171
Beidas,173
Pusterhofer,191
Jakobus,193
Leuchs,189
Trystram,191
Gomatam,191
Munck,180
Esposito,184
Ratzlaff,182
Edelhoff,175
Talmor,186
Tokunaga,172
Ranta,197
Radivojevic,200
Bresenham,164
Leslie,190
Thorensen,177
Gladwell,168
Salinas,191
Pelz,197
Seiwald,157
Gulak,186
Setia,196
Kading,163
Glowinski,172
Rajcani,212
Ranka,172
Leppanen,157
Gecsei,208
Mungall,171
Norsworthy,200
Hitomi,199
Fioravanti,180
Skafidas,199
Hebden,179
Varley,181
Bernatsky,193
Hooghiemstra,183
Busillo,182
Vickson,194
Gopalakrishnan,176
Maksimenko,215
Roccetti,179
Ranze,173
Laurillard,175
Pietracaprina,173
Buescher,187
Collette,215
Zolotykh,183
Hennebert,158
Merle,162
Thummel,202
Camarinopoulos,193
Tyugu,188
Felcyn,187
Aloisi,164
Serre,193
Pappas,165
Segond,195
Middleton,187
Pardalos,176
Francisci,189
Dalton,162
Leaver,196
Morris,169
Zucker,185
Bhattacharjee,198
Unni,169
Moffat,190
Krone,183
Azadmanesh,182
Tagansky,194
Taubman,212
Ibel,184
Rahier,185
Denos,173
Tasistro,178
Laventhal,189
Kavanagh,201
Ciolek,197
Waymire,188
Litzkow,161
Pluym,163
Vilarrasa,195
Wegerle,183
Vidya,175
Muhlberg,185
Danner,176
Oppitz,197
Kolvik,169
Merro,147
Stiles,159
Heuser,196
England,182
Greenaway,165
Streng,179
Bakhtari,178
Khalid,191
Luce,210
Cummings,216
Androutsos,171
Vieth,156
Lueh,169
Chenoweth,178
Peyn,190
Clouatre,201
Percebois,182
Ducloy,192
Varker,174
Garrabrants,212
Iisaka,181
Sanella,170
Schwaller,194
Glinert,169
Binding,180
Loncour,176
Schonegge,174
Stavenow,183
Berendt,186
Jarecki,178
Chaudhuri,181
Erdmenger,197
Rindone,195
Mitina,188
Simmel,167
Alvarado,175
Perko,168
Range,173
Matheson,195
Pashtan,198
Weiland,191
Piancastelli,169
Seghrouchni,190
Boissier,174
Koblitz,184
Baak,182
Muhling,187
Rajaraman,197
Marrevee,185
Cangellaris,211
Garigliano,187
Bondorf,206
Godskesen,187
Kornyak,202
Gien,184
Melski,194
Roison,171
Fairtlough,191
Baca,176
Vigier,198
Broomell,179
Peha,174
Kuszyk,194
Gornas,197
Mateescu,170
Schaaf,210
Spieker,182
Mayerwieser,181
Zweizig,180
Vendrig,181
Jiafu,165
Takanami,181
Waeselynck,183
Zeilberger,177
Prampolini,153
Panwar,184
Nishimukai,197
Danley,187
Vecchio,191
Litecky,189
Constantine,194
Beerel,176
Akaboshi,199
Speer,182
Bierbaum,163
Kieras,177
Miara,197
Impagliazzo,188
Hinsberger,187
Toyoshima,180
Jahnichen,189
Hanratty,190
Dichev,184
Baja,176
Ratnakar,186
Giarratana,158
Decleir,188
Montemayor,184
Poulakidas,186
Neimat,199
Zambonelli,151
Conry,169
Armand,176
Akiyama,170
Luft,195
Sridhar,199
Aumann,161
Milicia,175
Luders,204
Lagarias,178
Fadgyas,183
Christianini,180
Crouzet,185
Rusterholz,201
Lanzelotte,189
Arlazarov,168
Winter,180
Hiyoshi,198
Woycyznski,192
Nyrup,172
Pfau,200
Bael,180
Capobianchi,178
Kilgour,202
Copas,163
Thambidurai,167
Wilharm,164
Fraisse,185
Nooteboom,181
Lorho,203
Picht,189
Dehkordi,183
Demri,181
Ghelli,191
Basawa,182
Majewski,188
Lorch,185
Babb,166
Michaeli,196
Ecklund,205
Plumb,165
Cooke,201
Erde,185
Brodie,201
Chimia,206
Jording,176
Carrere,196
Kusakari,184
Hasham,191
Desikan,204
Negoita,179
Stafford,173
Chorvat,180
Rikino,195
Braunschweig,185
Weedman,197
Maquelin,189
Casperson,169
Schicker,175
Gadepally,173
Hopewell,155
Sudbeck,222
Feldhoffer,177
Simmen,192
Cardazo,190
Peng,182
Gihr,202
Luit,181
Nicolson,167
Schauser,174
Sinicrope,176
Reghbati,185
Tischendorf,173
Frezza,177
Rehfuss,162
Verspoor,178
Trumbly,177
Karner,199
Seuren,178
Furudate,184
Underwood,190
Peot,183
Siepmann,212
Rullman,171
Georg,174
Haumacher,194
Bratten,187
Chiodo,181
Conte,190
Murrill,166
Lung,167
Joslin,188
Remmers,192
Riesenhuber,190
Huhdanpaa,173
Swiss,190
Anido,177
Ghemri,211
Rosenbaum,196
Erni,161
Ouhyoung,195
Kranzdorf,186
Makrucki,188
Wossner,192
Borstler,196
Ramras,160
Engberts,195
Huttel,189
Eugenio,187
Budinsky,189
Orsini,189
Bolsens,210
Barreiro,175
Businaro,183
Engelmann,175
Broder,181
Neiman,218
Henseler,172
Kawashima,199
Gargeya,189
Denna,184
Asser,211
Hellwagner,190
Nitsch,173
Teitelbaum,166
Angel,181
Serov,156
Bale,182
Alblas,193
Benzmuller,187
Noriega,191
Molenaar,175
Ananiadou,160
Lores,175
Qiwen,168
Baek,188
Peak,191
Emiris,190
Hoppenstand,200
Kornatzky,187
Iwayama,200
Montresor,168
Szemeredi,181
Peres,178
Botman,178
Macedo,164
Ishibashi,203
Lowrie,208
Trachtenberg,181
Aamodt,205
Bennet,205
Orlowski,185
Magalhaes,177
Portugali,172
Gist,193
Koblick,182
Sundgren,193
Fortenbacher,199
Sichman,196
Callaway,190
Himler,170
Setiz,170
Talmon,182
Luiz,166
Khalil,191
Sessa,170
Penn,170
Templeman,177
Fujisaki,194
Dengi,181
Ravishankar,155
Zwicker,176
Uludag,182
Jiang,197
Gubsky,171
Ritcey,156
Schrift,159
Shinomoto,175
Lalonde,198
Swist,181
Brizzi,167
Liesche,190
Nourani,177
Rubsam,174
Conia,196
Debuse,183
Sabnani,152
Takkinen,186
Pintelas,174
Keustermans,195
Pesch,167
Angiulli,177
Gunderson,181
Strooper,178
Hoogerwoord,191
Muchinsky,199
Bouloucos,195
Chachaty,187
Vanwelkenhuysen,187
Staylopatis,190
Kirkerud,203
Morrey,213
Foolsday,1
Zizka,180
Dalphin,181
Rothenberg,191
Bratsberg,173
Kroft,181
Dolinsky,174
Suppi,190
Sevcikova,168
Sommer,176
Baranowski,160
Heiserman,184
Scallan,214
Schmiedel,197
Smailagic,189
Asrin,184
Stanfel,201
Marchesini,179
Gronowski,195
Walstra,186
Taubenfeld,200
Biron,173
Peac,183
Ranft,190
Herath,177
Candan,193
Radhakrishnan,193
Parfitt,191
Serna,195
Delaune,165
Gyimothy,186
Kermarrec,178
Riefers,185
Fiebach,189
Zykh,148
Lindqvist,190
Ulupinar,179
Litzler,171
Denny,175
Zaumen,199
Pramanik,212
Bugaenko,165
Nations,167
Cesareni,208
Besselaar,188
Siprelle,205
Karlin,163
Luck,182
Luby,192
Luef,163
Lorie,161
Hardjono,195
Hainaut,176
Sadowsky,145
Puppo,188
Dulin,192
Koyama,183
Bazelow,179
Bressoud,188
Zultner,177
Redmiles,210
Casley,178
Brookman,165
Perz,172
Yurov,179
Standera,161
Barinka,165
Selenyi,176
Thisen,169
Kobuchi,184
Byoun,191
Deverell,179
Waschkowski,181
Sankaranarayanan,183
Masand,196
Taneja,201
Junet,193
Porotnikoff,164
Lemarechal,158
Schmittgen,181
Ratnaker,181
Christ,193
Bojadziev,187
Eickenmeyer,192
Zobel,162
Alpin,204
Basart,172
Stasinski,183
Escriba,183
Porenta,175
Gammage,199
Kilgore,191
Naumovich,182
Validov,173
Klassen,190
Bail,180
Schiettecatte,184
Jullig,190
Sifakis,193
Vural,175
Demos,188
Szmurlo,184
Gide,172
Wixon,169
Tramer,203
Zhang,163
Sudkamp,188
Pietrzykowski,183
Bernini,178
Ellozy,189
Cochrane,193
Rande,171
Gill,184
Lamparter,209
Duclos,206
Pena,173
Eterovic,182
Siegrist,187
Conde,195
Cunliffe,177
Heydon,172
Nitta,180
Pepe,179
Schlegelmilch,202
Benaini,167
Ranum,197
Danecki,186
Geffroy,205
McFarlan,166
Birsak,190
Katiyar,198
Przulj,189
Bultermann,189
Unno,194
Brender,196
Pollacia,185
Merey,196
Jansen,188
Mullainathan,177
Marshall,189
Melichar,193
Gimbel,200
Birnbaum,190
Swen,212
Aseltine,177
Kropf,171
Daescu,195
Mawatari,199
Cusworth,166
Limongiello,170
Zuberek,209
Lichtman,183
Pollock,183
Isaak,171
Dechter,156
Snyers,179
Rodham,187
Fritzsche,167
Kamble,188
Molberg,183
Zaiane,172
Munro,160
Peris,177
Scharstein,189
Homond,165
Schneeberger,179
Roisin,191
Vesel,186
Vieri,172
Parascandalo,192
Mandelberg,156
Passafiume,176
Polajnar,170
Hashii,171
Perelgut,166
Hatcliff,179
Frolund,194
Plesums,191
Fontet,170
Nittel,162
Atchley,181
Reutenauer,188
Rassart,199
Vidal,175
Vuskovic,182
Boudaillier,217
Castellani,171
Bahl,201
Szilard,197
Yoshimura,169
Diderrich,190
Gelosh,223
Chandrasekhar,185
Goodrum,190
Wallrath,168
Gulik,200
Flasterstein,181
Stentiford,194
Chinen,177
Egerstedt,176
Poujol,182
Matzat,182
Baar,189
Versino,187
Kroha,163
Cmelik,183
Kuhnemann,195
Ramaiah,190
Kavvadias,186
Swan,196
Suessmith,155
Schapiro,181
Salverda,190
Terwilliger,156
Herber,212
Passino,183
Baer,192
Chleq,189
Goldhammer,186
Heijenga,160
Gonthier,151
Decaestecker,185
Vecchi,191
Schaap,196
Wuwongse,167
Condotta,169
Peck,177
Cappello,175
Marquardt,191
Chappelet,176
Garnier,207
Vandervoorde,177
Itschner,174
VanScheik,162
Kemmerer,192
Mapelli,191
Papadias,196
Kamber,211
Acton,189
Ozeki,184
Pulkowski,186
Peltason,194
Wynblatt,201
Anily,182
Bauknecht,168
Kakkad,185
dAstous,166
Madeira,190
Kohling,190
Sidou,191
Emmerich,168
Highland,189
Radwan,178
Meriste,196
Senzako,192
Bugrara,200
Ertl,192
Zeidenstein,187
Morton,172
Klerer,183
Jumpertz,182
Akazan,207
Wendorf,217
Lyonns,160
Brendel,185
Granlund,197
Badr,169
Alpay,183
Schade,184
Verhoeff,170
Ligten,180
Millington,189
Angot,178
Restivo,178
Birjandi,215
Lund,170
Meszaros,186
Murthy,167
Yetto,169
Varman,182
Benantar,186
Renear,182
Krichel,185
Lindenbaum,200
Farrel,170
Chiola,179
Backhouse,189
Bergere,175
Chelton,181
Heuter,192
Thibadeau,172
Ranai,185
Harllee,184
Morrin,193
Flanders,173
Miake,191
Falster,170
Gruenwald,185
Servi,196
Mukaidono,201
Hartvigsen,196
Kadhim,163
Warwick,199
Marsiglia,166
Lunn,175
Nergos,171
Murtha,188
Compeau,184
Quittner,181
Luga,179
Sullins,180
Isard,187
Hettesheimer,199
Saoudi,176
Farris,222
Kragelund,163
Argence,204
Eastman,178
Pell,172
Genin,152
Zielinski,172
Felder,178
Velasco,187
Viele,197
Tomescu,192
Puoti,168
Asmuth,181
Crooks,187
Yemenis,181
Nannarelli,200
Lovengreen,183
Demizu,176
Penz,188
Gulla,164
Birge,194
Claffy,182
Sommen,175
Gurbaxani,185
Yoshizawa,188
Ramsay,203
Hofstetter,196
Hofting,194
Jayawardene,177
Assaf,174
Chaudhury,184
Bednarek,198
Brattka,185
Kawashimo,188
Choobineh,174
Benner,158
Shiratori,204
Marzano,160
Merli,186
Potthoff,174
Heping,176
Oehlmann,163
Bernick,174
Lienhardt,175
Kossowski,178
Silva,186
Falco,179
Solovay,178
Coombs,176
Siochi,189
Kleiser,193
Ghazalie,198
Krohn,175
Hebert,206
Demian,187
Lodder,171
Stassinopoulos,193
Champarnaud,203
Turnbull,179
Ginneken,178
Landherr,198
Deyuan,173
Reinhart,181
Sury,164
Preusig,187
Picci,175
Terlouw,183
Fasbender,180
Bardell,177
Masamoto,173
Emden,205
Coney,175
Dymetman,179
Mitchem,186
Stroustrup,188
Coors,204
Gniady,168
Roohalamini,175
Coullard,166
Mitzlaff,200
Flexer,175
